"難易度","曲名","譜面種別","レベル","1位でらっくスコア","理論値","理論値比率","DXスター","プレイヤー","達成日時","ランキング更新日時","詳細URL","取得状況"
"MASTER","7 Wonders","DX","14+","3785","3855","98.1842%","5","ＮＯＮ＊ＲＪ","2026/06/06 21:02","2026/08/24 21:15","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=b4b55c793297a1d3fabf72480a60db3f429e6e976037712cfc6bbbba1e0e86453a3ae6c7461dd66d94a237ae176fef612131f66d424961c1d830d5fde62f579fsuHefD9fg7N%2BsNZzFxIEQSo1glY6588bk1BwFTa5Om8%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Aegisfortia","DX","14+","3193","3222","99.0999%","5","ＮＯＮ＊ＲＪ","2026/08/07 12:03","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=340ff3e8656320fd70b6dbbd5893470f179514efc87fcc06f33ce117c460156acd81ae2f752805ce3bf699b8719b673ea013f12753dca3d1711d2ab1f71bad05%2FjtnpQtsea3x3vStdrarRQ2yCX3wlrB%2FW55SEy3%2BTgs%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","AMABIE","DX","14+","2771","2796","99.1059%","5","ＲｅＭｉＲｉＡ","2025/06/23 13:03","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=c0472d7e59b66020a8a76a4e5df634ddd7c65f6a6b8d9c9f27e8471a111c02ebc5c362d39b1c54fbf2817a0d5b9a2bb03bd7f312f5387d082e0b1f2d82a2fe65tm4E2ZvloMqNJJwLx06vQ4%2B04rU7sBUWlR3Vi15UKH4%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","AMAZING MIGHTYYYY!!!!","STANDARD","14+","3339","3378","98.8455%","5","ＲｅＭｉＲｉＡ","2025/05/29 12:39","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=acf5d3f86dc70cd5a1cb02d8efb7ea73b0693bf68f881839888ad53dc0c6e65ab6eb37dae2d0aae4d7f6fd82ec886aa58918069c049a9c803d4a1c38d827b5fb1hAXtuHrPLRtjST1dlIcA%2BPdx2ne7Dn%2FqI%2FXuK7v0VA%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","ANiMA","DX","14+","2790","2832","98.5169%","5","ＲｅＭｉＲｉＡ","2026/04/18 16:06","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=590f115da347b7b1fd1dc4d0ac4acf452ea929d2aa5d99d3c3fa5c55e53475997f94ada56d52d6bd44653a288a369a80a994306e518a6e6173bd51330c6b18f7Oq4RoDHZ6ZpcND0EGosTRlobX6%2F31Rjd9i5htpTRaWQ%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Åntinomiε","DX","14+","3089","3117","99.1017%","5","ＲｅＭｉＲｉＡ","2025/03/14 13:50","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=1583c4c6cbccc6e56501eddc66da7080e361e89be16a735cecba27e873f24a6d2b7f75da34111dd1c7ef93e20f7d3961411d8d26c8e939406c8737796d8fe3b6uc6FGykWSb%2FwBQBn8HSNEG8K7sD5M%2FssHh60UhswK7Y%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","Apollo","DX","14+","3569","3633","98.2384%","5","ＲｅＭｉＲｉＡ","2023/12/09 19:42","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=7b3ca7bb1e73ea202b891dcbe019e5fcc291cc96879680535638997d9c0457a9bd22224c25a50d655686240ea3ff77e4afad5fa9dac4790e28698846406e1280UuFovfcEqCH39x31x2Lo2iHXtde%2FBKNWlpxG60mBwpA%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","ATLAS RUSH","DX","14+","3104","3135","99.0112%","5","ＲｅＭｉＲｉＡ","2025/06/03 20:45","2026/08/24 21:14","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=611b1cb55c1fee0043ba08f1d4e18fc6d3a49bc7995aad5081489686a481b5537f5e7ed8579a638dee12d0acb105e70180fccb2cec18ee86319c7536a85b3920iPnTRVhWsSZqW7imHdImmpMKlVK%2BoXA9zOEul4QZyzs%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","BLACK SWAN","DX","14+","2866","2898","98.8958%","5","ＫＥＩＴＡ・∀・","2025/12/12 19:05","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=e24ffb9e0129b9665627673fc9c95e8355264f7ad95602ac9aca2295867a9c2de8df9d97abc1353a1d9735fab35c72e7f3129d3e37416538c091f55385d0e239Fx%2BcYHS%2BDnBOxgrDJ32Fl%2FrOO4GrD5pCIjqMvORVBs8%3D&scoreType=1&rankingType=99&diff=3",""
"MASTER","BREaK! BREaK! BREaK!","DX","14+","3288","3318","99.0958%","5","ＲｅＭｉＲｉＡ","2025/06/22 19:42","2026/08/24 21:13","https://maimaidx.jp/maimai-mobile/ranking/musicRankingDetail/?idx=07d3b55cb288e94de87b9a2667e1dd5b26507c066d5843c8b7227cfe3f87af5d990b37bdda1889ec714dd527165da5ecf8ba6897c580949cd997c30ea04bddf1HD59AJhMSQTDXGqTIpn2wm9gUrSbgzcGrooq57M8X0s%3D&scoreType=1&rankingType=99&diff=3",""
